area,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,waterlogging,historical_flood,elevation,drainage_efficiency,urban_density,slope,previous_risk,risk_score_24h,risk_label_24h
Velachery,17,97,129,124,146,82,8,57,35,45,19,88,90.4,SEVERE
Velachery,67,98,109,71,227,48,50,32,33,95,27,61,100.0,SEVERE
Velachery,53,64,100,88,78,57,88,9,84,89,11,60,70.56,HIGH
Velachery,66,55,44,215,149,85,67,63,76,51,14,47,95.04,SEVERE
Velachery,53,35,142,166,244,73,36,77,50,59,31,39,100.0,SEVERE
Velachery,73,38,102,72,197,50,33,22,62,80,33,44,100.0,SEVERE
Velachery,71,103,98,186,228,42,89,26,37,80,23,21,100.0,SEVERE
Velachery,74,20,150,183,216,66,47,57,40,86,20,46,100.0,SEVERE
Velachery,12,33,70,69,147,66,65,40,84,73,4,71,91.76,SEVERE
Velachery,55,75,48,145,218,35,60,7,46,66,34,27,100.0,SEVERE
Velachery,89,105,40,89,224,14,85,26,88,57,16,62,100.0,SEVERE
Velachery,50,98,179,162,141,44,41,66,44,50,13,11,74.87,HIGH
Velachery,71,92,136,128,203,23,90,42,90,49,18,65,100.0,SEVERE
Velachery,23,58,69,101,196,63,60,32,91,45,13,19,89.22,SEVERE
Velachery,39,110,106,168,151,32,76,77,39,86,10,67,85.09,SEVERE
Velachery,68,47,46,66,149,86,12,39,72,52,25,34,84.76,SEVERE
Velachery,53,37,102,195,63,74,49,58,69,65,12,60,75.27,SEVERE
Velachery,17,84,126,64,211,45,78,8,33,69,8,36,100.0,SEVERE
Velachery,64,30,60,149,218,24,29,74,94,74,16,37,96.7,SEVERE
Velachery,33,22,56,212,143,50,46,63,24,44,11,48,100.0,SEVERE
Velachery,45,113,58,147,168,50,80,25,91,59,19,51,87.92,SEVERE
Velachery,32,22,87,190,61,86,54,15,42,73,12,18,64.79,HIGH
Velachery,19,48,70,162,206,71,93,62,44,46,22,83,100.0,SEVERE
Velachery,28,23,55,144,169,41,30,67,54,88,33,35,94.61,SEVERE
Velachery,60,49,125,137,241,31,99,75,33,49,19,13,100.0,SEVERE
Velachery,87,119,56,201,78,73,84,71,36,93,5,51,90.21,SEVERE
Velachery,11,97,83,162,142,41,88,12,75,84,14,30,77.66,SEVERE
Velachery,85,44,39,70,73,80,89,16,76,50,14,57,64.4,HIGH
Velachery,32,51,179,182,124,92,49,42,52,48,32,11,94.88,SEVERE
Velachery,32,33,37,165,253,20,29,42,89,81,27,56,98.85,SEVERE
Velachery,79,100,38,171,76,72,82,14,52,47,20,84,73.05,HIGH
Velachery,87,50,54,133,161,66,31,76,59,57,33,83,88.69,SEVERE
Velachery,57,75,56,157,228,19,72,15,76,65,2,87,100.0,SEVERE
Velachery,24,113,142,186,146,49,63,63,83,41,23,18,72.27,HIGH
Velachery,30,99,102,89,126,55,76,50,89,92,26,58,77.9,SEVERE
Velachery,19,57,169,122,82,65,96,70,40,67,19,29,66.42,HIGH
Velachery,89,94,156,188,251,18,88,9,55,75,13,21,100.0,SEVERE
Velachery,35,51,168,74,243,88,59,17,31,57,21,22,100.0,SEVERE
Velachery,53,22,137,59,98,24,83,9,52,75,19,64,75.68,SEVERE
